Temperature (°C),Humidity (%),Occupancy,Energy Consumption (kWh)
19.89,47.59666666666671,0,60
19.89,46.69333333333329,1,60
19.89,46.3,1,50
19.89,46.0666666666667,1,50
19.89,46.33333333333329,0,60
19.89,46.0266666666667,0,50
19.89,45.7666666666667,0,60
19.8566666666667,45.56,1,60
19.79,45.5975,1,60
19.8566666666667,46.09,1,70
19.9266666666667,45.863333333333294,0,230
20.06666666666669,46.3966666666667,1,580
20.1333333333333,48.0,1,430
20.26,52.7266666666667,0,250
20.4266666666667,55.893333333333295,0,100
20.56666666666669,53.893333333333295,0,100
20.73,52.66,0,90
20.8566666666667,53.66,1,70
20.89,51.19333333333329,1,80
20.89,49.8,0,140
20.89,48.433333333333294,1,120
20.963333333333296,47.6333333333333,0,190
21.033333333333296,47.0633333333333,0,110
21.1,46.59666666666671,0,110
21.1333333333333,46.06,1,110
21.2,45.8,1,110
21.29,45.9,0,100
21.3566666666667,45.8266666666667,1,100
21.39,45.69,1,100
21.5,45.33333333333329,0,100
21.5,45.1266666666667,1,110
21.533333333333296,44.9666666666667,0,400
21.6,44.7666666666667,0,400
21.6,44.56,1,390
21.6,44.36,1,240
21.6,44.2,1,60
21.6,44.2,0,60
21.6,44.2,0,60
21.6,44.2,1,50
21.5,44.23,1,70
21.5,44.363333333333294,0,60
21.39,44.433333333333294,1,40
21.39,44.56,0,40
21.29,44.8266666666667,1,30
21.29,44.9666666666667,0,40
21.26,45.09,1,50
21.2,45.09,0,310
21.1666666666667,45.23,1,380
21.075,45.3725,1,380
21.0,45.4,0,370
21.0,45.59,1,120
20.9266666666667,45.59,1,50
20.89,45.66666666666671,1,40
20.89,46.06,1,50
20.79,46.2,1,40
20.79,46.2,1,50
20.7,46.26,0,50
20.7,46.2,0,50
20.6,46.2,0,40
20.6,46.1266666666667,0,40
20.56666666666669,46.0666666666667,0,30
20.5,46.2,0,20
20.5,46.29,1,20
20.4266666666667,46.23,0,40
20.39,46.29,0,50
20.39,46.363333333333294,1,50
20.29,46.5,0,40
20.29,46.545,1,50
20.23,46.5,0,40
20.2,46.433333333333294,1,40
20.2,46.56,1,40
20.1666666666667,46.363333333333294,0,60
20.1,46.363333333333294,0,50
20.1,46.5,1,50
20.033333333333296,46.36,1,40
20.0,46.29,1,40
20.0,46.29,1,40
20.0,46.23,0,40
19.9266666666667,46.23,0,50
19.89,46.23,0,70
19.89,46.43,1,40
19.89,46.6266666666667,1,30
19.89,46.7,0,20
19.89,46.863333333333294,0,30
19.82333333333329,46.863333333333294,0,40
19.8566666666667,46.93,0,50
19.79,46.79,1,60
19.79,46.895,1,60
19.79,47.4266666666667,1,70
19.79,48.3666666666667,1,60
19.79,48.66666666666671,0,140
19.79,48.533333333333296,1,110
19.89,50.0,1,90
19.89,48.7333333333333,1,60
19.89,48.0266666666667,1,60
19.89,47.6333333333333,1,60
19.8566666666667,47.0633333333333,1,50
19.79,46.6566666666667,1,60
19.79,46.33333333333329,0,50
19.79,46.0666666666667,0,30
19.76,45.863333333333294,0,40
19.7,45.79,1,30
19.7,45.6633333333333,0,260
19.7,45.59,1,500
19.73,47.793333333333294,1,450
19.79,48.793333333333294,0,50
19.89,47.94,1,60
19.89,47.16,1,60
19.89,46.7666666666667,0,50
20.0,46.2966666666667,0,50
20.0,45.963333333333296,0,50
20.0,46.223333333333294,0,60
20.0,45.963333333333296,1,60
20.0,45.723333333333294,1,60
20.0,45.6633333333333,1,60
20.033333333333296,45.5,1,190
20.1,45.69333333333329,1,220
20.1,45.4,0,170
20.1,45.3266666666667,1,390
20.1,45.3266666666667,1,90
20.1666666666667,46.9933333333333,1,60
20.1,46.43,1,290
20.1,46.03,0,130
20.06666666666669,45.363333333333294,0,140
20.0,44.963333333333296,0,240
20.0,44.76,1,50
20.0,44.595,1,60
20.0,44.433333333333294,1,60
20.0,44.26,0,60
20.0,44.2,1,370
20.0,44.06,1,200
20.0,44.06,0,70
20.0,44.09,0,50
20.0,44.03,0,40
19.963333333333296,43.9,1,40
19.963333333333296,43.9,0,30
20.0,43.863333333333294,1,30
20.06666666666669,43.863333333333294,1,30
20.1,43.79,0,30
20.1,43.73,1,40
20.1,43.56,1,50
20.1,43.433333333333294,0,40
20.1,43.1633333333333,1,40
20.1,43.03,0,40
20.06666666666669,42.83333333333329,0,60
20.0,42.6725,0,60
20.0,42.53,1,210
20.033333333333296,43.4966666666667,1,380
20.033333333333296,42.963333333333296,0,370
20.0,43.16,0,230
20.0,43.9,1,80
20.0,43.7,0,90
20.0,43.76,0,70
20.033333333333296,44.0,1,40
20.1,44.26,1,40
20.1,44.2,0,30
20.1,44.1266666666667,1,50
20.1,44.06,1,50
20.1,44.0,0,60
20.1,43.9,1,50
20.1,43.8266666666667,0,60
20.033333333333296,43.73,1,60
20.1,43.73,1,60
20.06666666666669,43.49,1,50
20.0,43.29,0,50
20.0,43.145,1,50
20.0,43.06,0,50
19.9266666666667,43.0,0,50
19.89,42.863333333333294,0,60
19.89,42.79,1,60
19.89,42.7,1,40
19.82333333333329,42.6266666666667,0,30
19.79,42.59,1,30
19.79,42.723333333333294,0,30
19.76,42.76,1,40
19.7,42.7,0,50
19.7,42.7,1,50
19.6333333333333,42.6266666666667,0,50
19.6666666666667,43.0,1,40
19.6,43.0,0,50
19.6,43.0,0,40
19.533333333333296,43.0,0,40
19.5,43.09,1,40
19.5,43.09,1,40
19.5,43.145,0,50
19.5,43.2,1,50
19.4266666666667,43.2,1,50
19.39,43.2,1,30
19.39,43.26,1,20
19.39,43.29,0,30
19.39,43.363333333333294,0,20
19.39,43.4,1,40
19.32333333333329,43.4666666666667,1,50
19.29,43.5,1,60
19.29,43.56,0,50
19.29,43.59,0,40
19.29,43.59,1,40
19.29,43.7,1,50
19.29,43.76,1,40
19.2,43.7,1,40
19.2,43.76,1,50
19.2,43.79,0,50
19.2,43.863333333333294,0,50
19.2,43.9,1,40
19.1,43.933333333333294,1,30
19.1,44.0,0,20
19.1,44.0,0,20
19.1,44.0,1,20
19.1,44.09,0,50
19.1,44.09,0,50
19.033333333333296,44.03,1,50
19.033333333333296,44.09,1,40
19.0,44.09,1,40
19.0,44.09,0,50
19.0,44.09,1,40
19.0,44.1633333333333,0,50
18.963333333333296,44.2,0,50
18.89,44.2,1,50
18.89,44.2,1,40
18.89,44.2,1,40
18.89,44.23,1,50
18.89,44.29,1,20
18.89,44.29,0,20
18.865,44.365,0,50
18.79,44.723333333333294,0,30
18.89,45.03,0,50
18.89,45.09,1,50
18.89,45.0,0,200
18.89,45.0,1,110
18.79,44.6333333333333,1,80
18.79,44.5,1,50
18.79,44.59,1,50
18.79,44.53,1,50
18.79,44.363333333333294,1,40
18.79,44.23,0,40
18.79,44.06,1,30
18.79,43.933333333333294,0,180
18.79,43.9,0,350
18.79,43.9,1,350
18.79,44.0,0,300
18.8566666666667,44.06,1,400
18.89,44.23,1,390
